eCO2,tvoc,EtOH,indoor-aqi,crowd_density,C_norm,V_norm,E_norm,I_norm
400.27,2.0,1.0,10.0,0.2,5.869565217390909e-05,0.002,0.001,0.02
2122.8845466978673,493.10537223980145,475.11867691040123,115.87351095014309,0.956614621083458,0.3745401188473625,0.49310537223980144,0.4751186769104012,0.23174702190028618
4773.285809485615,349.08085700987255,223.00288647897787,94.94644504480745,0.06895801635642118,0.9507143064099163,0.34908085700987257,0.22300288647897787,0.1898928900896149
3767.172132332463,268.0481831720602,92.56646441930982,215.83341239295632,0.05705472115125432,0.7319939418114051,0.2680481831720602,0.09256646441930982,0.4316668247859126
3153.8290273063685,154.76380814316389,270.9504736891791,129.77044628405451,0.28218707469320015,0.5986584841970366,0.15476380814316387,0.27095047368917907,0.259540892568109
1117.685746035208,406.89750985347433,436.47291793820415,119.79546940743275,0.26170568373590597,0.15601864044243652,0.40689750985347434,0.43647291793820414,0.23959093881486548
1117.5747935465322,342.3655862769396,366.1124432047806,6.410516451608922,0.24697879907199982,0.15599452033620265,0.3423655862769396,0.3661124432047806,0.012821032903217844
667.1846159737175,81.30846967244565,403.28057393072487,85.3119569065391,0.9062545805210367,0.05808361216819947,0.08130846967244565,0.40328057393072486,0.17062391381307818
4384.410270564702,455.4635922469212,329.3916833553587,95.04890469646426,0.2495461998495061,0.8661761457749352,0.45546359224692123,0.3293916833553587,0.19009780939292853
3165.1290540187606,411.2686214615845,346.1382822589262,99.70569522422512,0.271949726128631,0.6011150117432088,0.4112686214615845,0.34613828225892623,0.19941139044845024
3657.1338578618092,474.899956645962,424.59782578265964,145.04309230683307,0.7593982624179637,0.7080725777960455,0.474899956645962,0.42459782578265964,0.29008618461366614
494.68867376069124,362.85975419417997,124.83400442959297,133.40063668171962,0.44973984245054,0.020584494295802443,0.36285975419418,0.12483400442959297,0.26680127336343923
4861.585319945174,306.7075979678949,244.71248182157024,151.97627319836116,0.7767105569551812,0.9699098521619943,0.30670759796789493,0.24471248182157024,0.3039525463967223
4229.236147681941,209.12151814530944,110.60472090980112,191.22081538553206,0.06536615756438524,0.8324426408004219,0.20912151814530944,0.11060472090980111,0.38244163077106413
1376.7599091200705,466.36424167700665,493.8340039983235,203.24643467902337,0.4875711936733843,0.21233911067827618,0.46636424167700663,0.4938340039983235,0.40649286935804674
1236.3948491526628,433.03194475020416,472.02966984330664,179.5307690566236,0.03361360018328263,0.18182496720710062,0.4330319447502042,0.47202966984330663,0.3590615381132472
1243.6607453257957,22.609335053094703,19.713405684252947,238.88092398873368,0.06265320345535452,0.18340450985343384,0.022609335053094703,0.019713405684252946,0.47776184797746735
1799.5143176138736,13.183487248626003,352.7875862578442,4.558145669090408,0.906437453344411,0.3042422429595377,0.013183487248626002,0.35278758625784423,0.009116291338180815
2813.879585508294,188.2316834390248,462.6241587078329,48.94449642088652,0.13924537111759516,0.5247564316322378,0.1882316834390248,0.4626241587078329,0.09788899284177305
